Whitney Houston, Crack is cheap. I make too much money to ever smoke crack. Let’s get that straight. OK? We don’t do crack. We don’t do that. Crack is whack.
Jessica Simpson, Is this chicken or is this fish?
Tom Cruise, Psychiatry is a pseudoscience…. You don’t know the history of psychiatry. I do…Matt Matt Matt Matt Matt Matt you don’t even -you’re glib. You don’t even know what Ritalin is.
Mel Gibson, What are you looking at sugar-tits?
Arnold Schwarzenegger, I think that gay marriage is something that should be between a man and a woman.
Mariah Carey, I just want one day off when I can go swimming and eat ice cream and look at rainbows.
Paris Hilton, Wal-mart… do they like make walls there?
Jessica Simpson, I’m not anorexic. I’m from Texas. Are there people from Texas that are anorexic? I’ve never heard of one. And that includes me.
George Bush, They misunderestimated me.
Tara Reid, I make Jessica Simpson look like a rock scientist.
George Bush, Occasionally. One of the things I’ve used on the Google is to pull up maps. It’s very interesting to see — I’ve forgot the name of the program — but you get the satellite and you can — like I kinda like to look at the ranch. It reminds me of where I wanna be sometimes.
Ozzy Osbourne, I think MTV should consider using subtitles. Half the time even I can’t understand what the fuck I’m talking about.
Kid Rock, If I was president of the good old U.S.A. I’d turn the churches into strip clubs and watch the whole world pray.
Britney Spears, I get to go to a lot of overseas places like Canada.
Melissa Etheridge, This is the only naked man that will ever be in my bedroom.